"Part";"Value";"Device";"Package";"Description";"";
"-5V+";"SSW-101-02-G-S";"SSW-101-02-G-S";"SSW-101-02-G-S";"THROUGH-HOLE .025" SQ POST SOCKET";"";
"C1";"104";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C2";"104";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C3";"10uF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C4";"104";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C5";"104";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C6";"10uF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"P33";"TPSQTP15R";"TPSQTP15R";"TP15R";"Test pad";"";
"PWR";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";
"R1";"330E";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R2";"33k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"U1";"TSSOP20";"TSSOP20";"TSSOP20";"";"";
"U51";"CH552G";"MY_IC_CH551G_CH552GSOP-16";"MY_IC_SO16";"";"";
"V33";"TPSQTP15R";"TPSQTP15R";"TP15R";"Test pad";"";
"X4";"SSW-101-02-G-S";"SSW-101-02-G-S";"SSW-101-02-G-S";"THROUGH-HOLE .025" SQ POST SOCKET";"";
"X0120";"SSW-120-02-G-S";"SSW-120-02-G-S";"SSW-120-02-G-S";"THROUGH-HOLE .025" SQ POST SOCKET";"";
"[X2140]";"SSW-120-02-G-S";"SSW-120-02-G-S";"SSW-120-02-G-S";"THROUGH-HOLE .025" SQ POST SOCKET";"";
"µUSB";"SSW-105-02-G-S";"SSW-105-02-G-S";"SSW-105-02-G-S";"THROUGH-HOLE .025" SQ POST SOCKET";"";
